id,car_type,fault,description,solution,category,difficulty
832,بيجو 301,العربية بتخبط في مطبات,السواق لاحظ إن العربية بتخبط في مطبات والعربية من نوع تويوتا كورولا.,"افحص المساعدين والكبالن، لو فيهم زيت أو صوت غريب يبقوا عايزين تغيير.",عفشة,سهل
833,رينو لوجان,العربية بتخبط في مطبات,السواق لاحظ إن العربية بتخبط في مطبات والعربية من نوع نيسان صني.,"افحص المساعدين والكبالن، لو فيهم زيت أو صوت غريب يبقوا عايزين تغيير.",عفشة,سهل
834,نيسان صني,صوت تزييق في المطبات,السواق لاحظ إن صوت تزييق في المطبات والعربية من نوع بيجو 301.,"رش جريز في المفصلات والجلد، لو الصوت مكمل يبقى جلد المقصات تعبانة.",عفشة,سهل
835,فورد فوكس,صوت تزييق في المطبات,السواق لاحظ إن صوت تزييق في المطبات والعربية من نوع شيفروليه أوبترا.,"رش جريز في المفصلات والجلد، لو الصوت مكمل يبقى جلد المقصات تعبانة.",عفشة,سهل
836,ميتسوبيشي لانسر,العربية بتخبط في مطبات,السواق لاحظ إن العربية بتخبط في مطبات والعربية من نوع كيا سيراتو.,"افحص المساعدين والكبالن، لو فيهم زيت أو صوت غريب يبقوا عايزين تغيير.",عفشة,صعب
837,كيا سيراتو,صوت تزييق في المطبات,السواق لاحظ إن صوت تزييق في المطبات والعربية من نوع هيونداي إلنترا.,"رش جريز في المفصلات والجلد، لو الصوت مكمل يبقى جلد المقصات تعبانة.",عفشة,صعب
838,سكودا أوكتافيا,العربية بتخبط في مطبات,السواق لاحظ إن العربية بتخبط في مطبات والعربية من نوع تويوتا كورولا.,"افحص المساعدين والكبالن، لو فيهم زيت أو صوت غريب يبقوا عايزين تغيير.",عفشة,سهل
839,ميتسوبيشي لانسر,العربية بتخبط في مطبات,السواق لاحظ إن العربية بتخبط في مطبات والعربية من نوع بيجو 301.,"افحص المساعدين والكبالن، لو فيهم زيت أو صوت غريب يبقوا عايزين تغيير.",عفشة,صعب
840,شيفروليه أوبترا,صوت تزييق في المطبات,السواق لاحظ إن صوت تزييق في المطبات والعربية من نوع رينو لوجان.,"رش جريز في المفصلات والجلد، لو الصوت مكمل يبقى جلد المقصات تعبانة.",عفشة,سهل
841,هيونداي إلنترا,العربية بتخبط في مطبات,السواق لاحظ إن العربية بتخبط في مطبات والعربية من نوع بيجو 301.,"افحص المساعدين والكبالن، لو فيهم زيت أو صوت غريب يبقوا عايزين تغيير.",عفشة,صعب
842,هيونداي إلنترا,صوت تزييق في المطبات,السواق لاحظ إن صوت تزييق في المطبات والعربية من نوع بيجو 301.,"رش جريز في المفصلات والجلد، لو الصوت مكمل يبقى جلد المقصات تعبانة.",عفشة,متوسط
843,ميتسوبيشي لانسر,العربية بتخبط في مطبات,السواق لاحظ إن العربية بتخبط في مطبات والعربية من نوع شيفروليه أوبترا.,"افحص المساعدين والكبالن، لو فيهم زيت أو صوت غريب يبقوا عايزين تغيير.",عفشة,صعب
844,رينو لوجان,العربية بتخبط في مطبات,السواق لاحظ إن العربية بتخبط في مطبات والعربية من نوع فورد فوكس.,"افحص المساعدين والكبالن، لو فيهم زيت أو صوت غريب يبقوا عايزين تغيير.",عفشة,صعب
845,سكودا أوكتافيا,صوت تزييق في المطبات,السواق لاحظ إن صوت تزييق في المطبات والعربية من نوع نيسان صني.,"رش جريز في المفصلات والجلد، لو الصوت مكمل يبقى جلد المقصات تعبانة.",عفشة,متوسط
846,ميتسوبيشي لانسر,العربية بتخبط في مطبات,السواق لاحظ إن العربية بتخبط في مطبات والعربية من نوع تويوتا كورولا.,"افحص المساعدين والكبالن، لو فيهم زيت أو صوت غريب يبقوا عايزين تغيير.",عفشة,صعب
847,نيسان صني,صوت تزييق في المطبات,السواق لاحظ إن صوت تزييق في المطبات والعربية من نوع بيجو 301.,"رش جريز في المفصلات والجلد، لو الصوت مكمل يبقى جلد المقصات تعبانة.",عفشة,سهل
848,كيا سيراتو,صوت تزييق في المطبات,السواق لاحظ إن صوت تزييق في المطبات والعربية من نوع كيا سيراتو.,"رش جريز في المفصلات والجلد، لو الصوت مكمل يبقى جلد المقصات تعبانة.",عفشة,صعب
849,كيا سيراتو,صوت تزييق في المطبات,السواق لاحظ إن صوت تزييق في المطبات والعربية من نوع فورد فوكس.,"رش جريز في المفصلات والجلد، لو الصوت مكمل يبقى جلد المقصات تعبانة.",عفشة,متوسط
850,كيا سيراتو,العربية بتخبط في مطبات,السواق لاحظ إن العربية بتخبط في مطبات والعربية من نوع هيونداي إلنترا.,"افحص المساعدين والكبالن، لو فيهم زيت أو صوت غريب يبقوا عايزين تغيير.",عفشة,متوسط
851,تويوتا كورولا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع نيسان صني.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
852,ميتسوبيشي لانسر,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع بيجو 301.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
853,هيونداي إلنترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع نيسان صني.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
854,هيونداي إلنترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع شيفروليه أوبترا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
855,تويوتا كورولا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع بيجو 301.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,سهل
856,ميتسوبيشي لانسر,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع نيسان صني.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
857,فورد فوكس,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع ميتسوبيشي لانسر.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
858,سكودا أوكتافيا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع رينو لوجان.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
859,سكودا أوكتافيا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع بيجو 301.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
860,هيونداي إلنترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع نيسان صني.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
861,بيجو 301,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع هيونداي إلنترا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
862,تويوتا كورولا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع بيجو 301.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
863,تويوتا كورولا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع كيا سيراتو.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,سهل
864,بيجو 301,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع ميتسوبيشي لانسر.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
865,تويوتا كورولا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع ميتسوبيشي لانسر.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
866,رينو لوجان,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع بيجو 301.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
867,هيونداي إلنترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع شيفروليه أوبترا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
868,كيا سيراتو,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع سكودا أوكتافيا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
869,ميتسوبيشي لانسر,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع شيفروليه أوبترا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
870,فورد فوكس,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع تويوتا كورولا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
871,سكودا أوكتافيا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع هيونداي إلنترا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
872,نيسان صني,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع ميتسوبيشي لانسر.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,سهل
873,بيجو 301,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع رينو لوجان.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
874,سكودا أوكتافيا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع رينو لوجان.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
875,ميتسوبيشي لانسر,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع شيفروليه أوبترا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
876,ميتسوبيشي لانسر,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع نيسان صني.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
877,شيفروليه أوبترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع ميتسوبيشي لانسر.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
878,شيفروليه أوبترا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع كيا سيراتو.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,سهل
879,كيا سيراتو,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع رينو لوجان.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
880,كيا سيراتو,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع هيونداي إلنترا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
881,سكودا أوكتافيا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع رينو لوجان.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
882,هيونداي إلنترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع رينو لوجان.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
883,بيجو 301,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع تويوتا كورولا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
884,كيا سيراتو,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع رينو لوجان.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
885,شيفروليه أوبترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع نيسان صني.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
886,كيا سيراتو,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع بيجو 301.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
887,نيسان صني,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع هيونداي إلنترا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
888,بيجو 301,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع نيسان صني.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
889,سكودا أوكتافيا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع سكودا أوكتافيا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
890,رينو لوجان,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع رينو لوجان.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
891,سكودا أوكتافيا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع تويوتا كورولا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,سهل
892,بيجو 301,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع بيجو 301.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
893,رينو لوجان,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع كيا سيراتو.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
894,سكودا أوكتافيا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع تويوتا كورولا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
895,فورد فوكس,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع بيجو 301.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
896,هيونداي إلنترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع هيونداي إلنترا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
897,رينو لوجان,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع رينو لوجان.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
898,بيجو 301,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع تويوتا كورولا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
899,هيونداي إلنترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع ميتسوبيشي لانسر.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
900,رينو لوجان,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع كيا سيراتو.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
901,رينو لوجان,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع فورد فوكس.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
902,تويوتا كورولا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع بيجو 301.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
903,بيجو 301,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع بيجو 301.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,سهل
904,ميتسوبيشي لانسر,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع تويوتا كورولا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
905,سكودا أوكتافيا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع شيفروليه أوبترا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
906,كيا سيراتو,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع تويوتا كورولا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
907,هيونداي إلنترا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع شيفروليه أوبترا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,سهل
908,بيجو 301,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع ميتسوبيشي لانسر.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
909,شيفروليه أوبترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع نيسان صني.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
910,نيسان صني,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع نيسان صني.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
911,بيجو 301,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع نيسان صني.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
912,شيفروليه أوبترا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع فورد فوكس.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,سهل
913,نيسان صني,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع بيجو 301.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
914,ميتسوبيشي لانسر,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع ميتسوبيشي لانسر.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
915,تويوتا كورولا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع نيسان صني.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
916,كيا سيراتو,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع بيجو 301.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
917,ميتسوبيشي لانسر,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع هيونداي إلنترا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
918,هيونداي إلنترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع هيونداي إلنترا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
919,ميتسوبيشي لانسر,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع هيونداي إلنترا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
920,شيفروليه أوبترا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع شيفروليه أوبترا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
921,هيونداي إلنترا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع بيجو 301.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
922,سكودا أوكتافيا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع كيا سيراتو.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,سهل
923,سكودا أوكتافيا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع ميتسوبيشي لانسر.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
924,رينو لوجان,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع ميتسوبيشي لانسر.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
925,ميتسوبيشي لانسر,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع شيفروليه أوبترا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
926,نيسان صني,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع سكودا أوكتافيا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
927,بيجو 301,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع سكودا أوكتافيا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
928,تويوتا كورولا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع نيسان صني.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
929,نيسان صني,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع رينو لوجان.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
930,تويوتا كورولا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع سكودا أوكتافيا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
931,هيونداي إلنترا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع تويوتا كورولا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,سهل
932,بيجو 301,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع شيفروليه أوبترا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
933,بيجو 301,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع شيفروليه أوبترا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,سهل
934,بيجو 301,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع هيونداي إلنترا.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,متوسط
935,نيسان صني,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع تويوتا كورولا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
936,رينو لوجان,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع فورد فوكس.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
937,كيا سيراتو,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع نيسان صني.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
938,شيفروليه أوبترا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع ميتسوبيشي لانسر.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
939,تويوتا كورولا,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع فورد فوكس.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
940,كيا سيراتو,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع بيجو 301.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,سهل
941,بيجو 301,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع تويوتا كورولا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
942,تويوتا كورولا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع فورد فوكس.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
943,كيا سيراتو,العربية بتقطع,السواق لاحظ إن العربية بتقطع والعربية من نوع رينو لوجان.,ده غالبًا من فلتر البنزين مسدود أو طرمبة البنزين ضعيفة. جرب تغير الفلتر الأول.,بنزين,صعب
944,شيفروليه أوبترا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع ميتسوبيشي لانسر.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
945,شيفروليه أوبترا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع نيسان صني.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,متوسط
946,سكودا أوكتافيا,ريحة بنزين في العربية,السواق لاحظ إن ريحة بنزين في العربية والعربية من نوع سكودا أوكتافيا.,"افحص خرطوم البنزين، ممكن فيه تسريب صغير. متسوقش قبل ما تصلحه.",بنزين,صعب
